Month,supply_charge,general charge fans,general charge cooling,general charge heating,Controlled load usage charge fans,Controlled load usage charge heating,Controlled load usage charge cooling,fans,heating,cooling,Gree
January,73.997,218.4827089,284.8690289,0.098789561,97.14112833,1.748152583,126.1395483,315.6238372,1.846942144,411.0085772,728.4793565
February,66.836,197.3393644,238.9931989,0.101139879,87.74043667,1.584179233,105.9353808,285.0798011,1.685319112,344.9285797,631.6936999
March,73.997,218.4827089,145.4475244,1.183405716,97.14112833,2.221927222,65.23839667,315.6238372,3.405332938,210.6859211,529.7150912
April,71.61,211.4345567,45.82644733,10.67368046,94.0074025,6.312404376,21.6675965,305.4419592,16.98608483,67.49404383,389.9220879
May,73.997,218.4827089,4.822869231,42.53493689,97.14112833,20.28482133,3.811692878,315.6238372,62.81975822,8.63456211,387.0781575
June,71.61,211.4345567,1.228523213,67.22104278,94.0074025,31.01303792,2.18663514,305.4419592,98.23408069,3.415158352,407.0911982
July,73.997,218.4827089,0.322638558,159.9186478,97.14112833,71.55957417,1.845932777,315.6238372,231.4782219,2.168571335,549.2706304
August,73.997,218.4827089,0.850680098,103.6003858,97.14112833,46.95901467,2.076588285,315.6238372,150.5594004,2.927268383,469.110506
September,71.61,211.4345567,9.443400987,44.53771544,94.0074025,21.10466142,5.775002079,305.4419592,65.64237686,15.21840307,386.3027391
October,73.997,218.4827089,60.90617867,3.883892301,97.14112833,3.401535373,28.309622,315.6238372,7.285427674,89.21580067,412.1250655
November,71.61,211.4345567,57.42703633,3.456289732,94.0074025,3.159752933,26.73488675,305.4419592,6.616042665,84.16192308,396.2199249
December,73.997,218.4827089,110.9136918,2.119631315,97.14112833,2.63088291,50.15356317,315.6238372,4.750514224,161.0672549,481.4416063
